Number,Name,RA,Dec,Vmag,SpType,Vsini,Nspectra,Comments
081,29 Dor,05 36 54.98,-66 33 37.03,6.281,B9.5Ve,,61,
082,zet Tau,05 37 38.69,21 08 33.16,3.03,B2IVe,245,5837,
083,HD 37330,05 37 53.45,00 58 06.99,7.38,B6Ve,,120,
084,HD 37266,05 39 04.27,37 58 35.93,7.5,Be,,0,
085,ome Ori,05 39 11.15,04 07 17.28,4.57,B2IIIe,155,3329,
086,HD 37352,05 39 15.15,30 09 02.01,7.69,B8e,270,125,
087,alf Col,05 39 38.94,-34 04 26.79,2.6,B9Ve,180,80,
088,HD 37971,05 41 41.51,-16 43 32.99,6.203,B4.5IIIe,0,321,
089,V434 Aur,05 42 19.87,43 03 34.53,7.25,B3Vne,,140,
090,V731 Tau,05 43 19.50,23 12 15.74,6.227,B2.5Ve,160,286,
091,V1165 Tau,05 43 39.06,25 26 22.36,6.82,B1Vpe,,284,
092,HD 38856,05 48 45.97,00 43 32.04,7.25,B5Ve,179,166,
093,HD 39018,05 50 32.28,18 01 34.90,7.72,B9e,190,116,
094,HD 40132,05 58 00.30,24 37 01.77,7.88,Be,,2,
095,141 Tau,06 01 41.63,22 24 03.58,6.355,B8IVe,,1,
096,V696 Mon,06 04 13.50,-06 42 32.18,5.251,B2Vne,358,312,
097,V447 Aur,06 04 38.41,46 35 06.40,7.29,B3Ve,,164,
098,HD 42054,06 07 03.67,-34 18 43.28,5.843,B4IVe,,95,
099,HD 41600,06 07 20.02,26 40 55.77,7.07,B9IVe,,1,
100,HD 42406,06 10 36.74,03 52 18.19,7.99,B4IVe,300,117,
101,HD 42477,06 11 27.91,13 38 18.82,6.042,A0Vnne,,134,
102,69 Ori,06 12 03.28,16 07 49.46,4.947,B5Vne,285,1018,
103,HD 43264,06 15 35.70,07 39 08.16,7.51,B9IIIe,288,202,
104,HD 43285,06 15 40.18,06 03 58.20,6.05,B5IVe,260,295,
105,HD 43544,06 16 07.69,-16 37 04.82,5.959,B2.5Ve,260,192,
106,HD 43913,06 18 58.46,04 11 28.73,7.86,Be,,112,
107,HD 44506,06 20 36.24,-34 08 38.92,5.525,B1.5Ve,220,66,
108,FR CMa,06 21 24.72,-11 46 23.66,5.585,B1Vpe,242,189,
109,HD 44637,06 23 24.68,15 06 06.43,8,B2Vpe,,760,
110,HD 44783,06 24 02.28,08 53 06.04,6.24,B9IIIe,226,308,
111,HD 44996,06 24 20.58,-12 57 42.98,6.12,B6.5Ve,38,808,
112,PZ Gem,06 27 15.78,14 53 21.22,6.64,O9pe,,954,
113,IY CMa,06 28 39.24,-32 22 16.60,5.74,B3Ve,275,92,
114,bet Mon A,06 28 49.07,-07 01 59.02,4.62,B3Ve,330,236,
115,nu Gem,06 28 57.79,20 12 43.69,4.14,B6IIIe,160,766,
116,AX Mon,06 30 32.94,05 52 01.20,6.74,B2IIIpshev,,414,
117,HD 46131,06 30 38.52,-22 19 18.52,7.15,B4Ve,275,62,
118,HD 45995,06 31 09.56,11 15 04.96,6.14,B2Vnne,255,177,
119,mu Pic,06 31 58.31,-58 45 13.81,5.707,B9Ve,,92,
120,QQ Gem,06 33 05.59,16 56 55.53,7.64,Be,,223,
121,HD 46484,06 33 54.41,04 39 44.61,7.65,B0.5IVe,120,186,
122,HD 47054,06 36 35.33,-05 12 40.11,5.57,B7IIIe,219,308,
123,HD 47160,06 37 05.74,-02 10 44.53,7.11,B8IVe,149,128,
124,15 Mon,06 40 58.66,09 53 44.72,4.64,B1Ve,70,1981,
125,10 CMa,06 44 28.47,-31 04 13.89,5.222,B2IIIe,205,70,
126,HP CMa,06 45 31.19,-30 56 56.33,5.8,B2IIIe,,89,
127,HD 49319,06 46 03.22,-39 32 24.92,6.625,B2.5IVne,245,238,
128,V339 Pup,06 46 12.15,-37 46 31.17,6.193,B6Vne,220,89,
129,V715 Mon,06 49 03.66,01 00 07.43,6.15,B3IIIe,85,270,
130,KS CMa,06 49 15.87,-12 40 04.52,7.26,B5ne,,85,
131,kap CMa,06 49 50.46,-32 30 30.52,3.515,B1.5Ve,243,129,
132,HD 49787,06 49 55.52,-05 30 47.50,7.54,B1Ve,160,127,
133,HD 49888,06 50 08.09,-12 35 05.12,7.23,B3e,260,88,
134,HZ CMa,06 50 23.35,-31 42 21.81,5.743,B6Vnpe,220,120,
135,KU CMa,06 50 26.47,-14 06 48.11,7.99,B1.5Vnpe,,87,
136,V743 Mon,06 51 33.40,-06 57 59.45,6.583,B7IIIe,60,3854,
137,V742 Mon,06 51 45.75,05 05 03.86,6.92,B2IIIe,181,231,Herbig
138,HD 50581,06 54 13.84,06 41 16.76,7.52,A0IVe,240,283,
139,LL CMa,06 54 35.91,-17 55 01.89,7.63,B3Ve,,83,
140,HD 50820,06 54 42.04,-01 45 23.36,6.27,B3IVe,,319,
141,V744 Mon,06 55 13.65,05 26 02.44,7.85,B1.5Ve,267,255,
