Number,Name,RA,Dec,Vmag,SpType,Vsini,Nspectra,Comments
348,V1075 Sco,17 15 19.25,-33 32 54.31,5.612,O8Ve,211,111,
349,V1076 Sco,17 16 17.58,-42 20 20.52,6.9,B2.5Vnne,367,59,
350,V1077 Sco,17 18 20.51,-32 33 11.18,6.374,B5Vne,180,137,
351,V1078 Sco,17 19 24.15,-38 00 13.28,7.89,B1Ve,,61,
352,HD 156398,17 19 24.63,-44 13 22.90,6.659,B9.5V+...,,91,
353,iot Ara,17 23 16.08,-47 28 05.51,5.245,B2IIIne,340,97,
354,gam Ara,17 25 23.66,-56 22 39.81,3.312,B1IIe,302,144,
355,V750 Ara,17 27 54.81,-47 01 34.40,6.652,B2Vne,310,278,
356,V862 Ara,17 31 23.28,-56 55 15.47,5.987,B7IIIe,,121,
357,51 Oph,17 31 24.95,-23 57 45.51,4.81,A0Ve,,177,Herbig
358,alf Ara,17 31 50.49,-49 52 34.12,2.836,B2Vne,290,106,
359,V864 Ara,17 33 11.35,-58 33 27.12,7.03,B7Vnnpe,,91,
360,V862 Sco,17 40 01.04,-32 12 03.84,6.75,B5Ve,220,107,
361,V2382 Oph,17 40 23.87,-28 55 23.52,7.18,B3Vne,,79,
362,HD 160648,17 43 24.28,-46 35 16.61,7.52,B6IIIe,,62,
363,V3894 Sgr,17 48 27.84,-26 58 29.80,6.35,B4IVe,95,158,
364,HD 161807,17 49 24.75,-38 59 01.61,7.007,B3Vne,,91,
365,HD 162428,17 50 01.23,24 28 05.07,7.103,A0e,350,590,
366,z Her,17 50 03.34,48 23 38.96,6.89,Bpshe,159,1269,
367,V868 Ara,17 50 18.87,-47 13 49.89,7.59,B6Vne,,93,
368,HD 163007,17 56 13.39,-46 42 07.69,7.447,B4Vne,,95,
369,V3984 Sgr,17 59 56.43,-33 24 29.98,7.355,B5Ve,312,91,
370,66 Oph,18 00 15.80,04 22 07.02,4.784,B2Ve,262,10896,
371,V974 Her,18 00 27.66,19 30 20.83,6.43,B8Vne,250,283,
372,HD 164050,18 01 11.31,-40 20 07.87,7.78,B8Ve,,93,
373,HD 164906,18 04 25.84,-24 23 08.35,7.45,B0Ve,255,80,
374,V986 Oph,18 04 37.36,01 55 08.37,6.15,B0IIIne,,124,
375,V4379 Sgr,18 05 33.31,-19 45 15.14,7.05,B9Ve,,83,
376,HD 165063,18 05 44.57,-36 34 46.10,7.46,B8e,,94,
377,HD 165365,18 06 45.79,-28 21 49.77,7.11,B7IIIe,,0,
378,omi Her,18 07 32.55,28 45 44.97,3.837,B9.5Ve,,821,
379,V3903 Sgr,18 09 17.70,-23 59 18.23,7.36,B6IIIe,,97,
380,HD 166566,18 11 50.91,-15 40 47.51,7.99,B2Ve,50,95,
381,V4045 Sgr,18 11 58.16,-28 54 05.53,6.52,B9IVspe,23,158,
382,HD 166917,18 12 40.36,02 48 46.11,6.7,B8IIIe,165,219,
383,QV Tel,18 17 07.53,-56 01 24.07,5.33,B3IIIpe,48,144,
384,HD 168135,18 18 50.70,-12 27 14.45,7.92,B8e,260,91,
385,HD 168957,18 21 27.77,25 03 24.40,6.983,B3Ve,,447,
386,NW Ser,18 21 28.40,05 26 08.59,6.147,B2.5IIIe,264,387,
387,HD 169033,18 23 12.16,-12 00 53.11,5.705,B5Ve,200,206,
388,HD 170009,18 27 01.79,07 43 57.80,8,B9IIIe,180,187,
389,HD 169805,18 27 12.00,-18 57 13.40,8,B2Vne,,63,
390,V4031 Sgr,18 29 21.99,-25 15 23.78,6.59,B1Vnne,170,102,
391,QT Ser,18 31 04.45,04 37 37.04,7.73,B5e,295,209,
392,V448 Sct,18 31 08.64,-05 47 22.31,7.38,B1.5IVe,270,159,
393,V3508 Sgr,18 31 24.21,-19 09 31.03,7.95,B5IIIe,,93,
394,HD 171219,18 33 17.84,05 26 43.94,7.65,B5IIIe,300,146,
395,V532 Lyr,18 33 23.04,30 53 31.52,6.538,B4Ve,185,563,
396,HD 171780,18 35 13.51,34 27 28.88,6.088,B5Vne,230,850,
397,V4400 Sgr,18 35 20.47,-22 05 27.38,7.95,B2Vnne,,61,
398,HD 172158,18 39 30.24,-21 57 56.01,7.95,B8IIe,,122,
399,V447 Sct,18 44 33.34,-07 06 38.17,7.88,B0.5IVe,61,146,
400,4 Aql,18 44 49.94,02 03 36.14,5.014,B9Ve,225,343,
401,HD 173371,18 44 55.91,-00 22 24.37,6.885,B7IVe,295,130,
402,CX Dra,18 46 43.09,52 59 16.66,5.9,B2.5Ve,163,3176,
403,HD 174179,18 47 57.37,31 45 24.61,6.047,B3IVpe,5,306,
404,HD 174105,18 48 22.65,15 23 38.89,6.93,B8e,250,210,
405,SHELIAK,18 50 04.80,33 21 45.61,3.52,B7Ve,120,3262,
406,HD 175511,18 52 02.21,59 40 01.33,6.94,B9e,,209,
407,lam Pav,18 52 13.03,-62 11 15.33,4.207,B2Ve,140,170,
408,HD 174886,18 53 14.47,-10 13 12.47,7.77,B4IIIe,69,125,
409,HD 175863,18 53 44.70,60 01 04.33,7.034,B4Ve,,510,
410,64 Ser,18 57 16.59,02 32 07.25,5.563,B8IIIe,175,295,
411,HD 176630,19 01 27.31,-06 11 33.33,7.65,B3IIIe,175,256,
412,HD 177015,19 03 33.13,-20 07 42.93,7.8,B4Vne,,119,
413,HD 177648,19 04 38.50,23 19 45.41,7.234,B2Ve,,377,
414,HD 177427,19 05 46.90,-29 04 52.05,7.08,B9IIIe,,101,
415,iot Lyr,19 07 18.13,36 06 00.57,5.249,B6IVe,310,1051,
416,V4024 Sgr,19 08 16.70,-19 17 25.03,5.57,B2Ve,105,143,
417,HD 179343,19 12 03.28,02 37 21.32,6.945,B8IIIe,148,148,
418,V1448 Aql,19 15 01.43,09 48 27.42,7.99,B2IVe,243,481,
419,HD 181409,19 19 03.74,33 23 19.72,6.573,B2IVe,140,215,
420,ups Sgr,19 21 43.62,-15 57 18.06,4.578,Bpshe,44,432,
421,HD 183339,19 25 46.77,58 01 38.36,6.581,B8IVwe,45,173,
422,V558 Lyr,19 27 36.40,37 56 28.31,6.294,B3Ve,220,202,
423,7 Vul,19 29 20.90,20 16 47.06,6.327,B5Vne,305,183,
424,V923 Aql,19 30 33.12,03 26 39.86,6.089,B6she,275,478,
425,bet Cyg B,19 30 45.40,27 57 55.00,5.088,B8Ve,220,256,
426,V1294 Aql,19 33 36.92,03 45 40.78,6.98,B0Ve,195,275,
427,11 Cyg,19 35 48.30,36 56 40.35,6.028,B8Vne,285,286,
428,HD 184767,19 36 00.99,00 14 58.76,7.15,A0IIIe,44,96,
429,kap Aql,19 36 53.45,-07 01 38.92,4.96,B0.5IIIe,,239,
430,V341 Sge,19 42 48.28,17 58 05.76,7.78,B2.5Ve,,191,
431,V1339 Aql,19 50 17.48,07 54 08.69,6.484,B2.5IVe,140,289,
432,12 Vul,19 51 04.11,22 36 36.17,4.893,B2.5Ve,245,2684,
433,V396 Vul,19 51 04.74,27 43 00.86,7.761,B2Vnne,,163,
434,V1466 Aql,19 52 15.58,10 21 05.72,6.503,B7VA5Ve,,189,
435,25 Cyg,19 59 55.20,37 02 34.39,5.139,B3IVe,200,1799,
436,HD 189689,20 00 07.06,32 47 22.83,7.282,B9e,150,86,
437,HD 189847,20 00 58.74,31 13 49.66,6.924,B7Ve,,2,
438,HD 190864,20 05 39.80,35 36 27.99,7.79,O7IIIe,100,179,
439,28 Cyg,20 09 25.62,36 50 22.64,4.929,B2.5Ve,300,3819,
440,20 Vul,20 12 00.70,26 28 43.70,5.903,B7Ve,245,273,
441,HD 192445,20 13 32.99,36 19 42.17,7.23,B0.5IIIe,,591,
442,QR Vul,20 15 15.90,25 35 31.05,4.759,B3Ve,275,8061,
443,V2113 Cyg,20 16 48.18,32 22 47.39,7.16,B1Vnnpe,,403,
444,LZ Del,20 17 09.78,15 52 21.61,7.47,B9e,,204,
445,HD 193182,20 17 25.18,39 35 36.74,6.554,Ape,200,262,
446,HD 194057,20 21 40.32,44 48 51.25,7.52,B1IIe,,751,
447,25 Vul,20 22 03.43,24 26 45.96,5.519,B8IIIne,160,300,
448,V2119 Cyg,20 23 44.37,37 28 35.21,5.859,B2Vne,315,315,
449,HD 194244,20 24 37.50,01 04 06.26,6.144,B9IIIe,233,276,
450,V2120 Cyg,20 25 32.81,54 41 03.12,7.36,B2Ve,,42,
451,HD 194779,20 25 55.08,41 20 11.72,7.8,B3IIe,,501,
452,HD 195554,20 29 27.11,56 04 05.48,5.889,B9Vne,250,115,
453,HD 195407,20 29 47.76,36 58 49.37,7.8,B0IVpe,310,118,
454,V2123 Cyg,20 33 05.11,31 39 25.31,7.82,B1.5Ve,,83,
455,HD 196712,20 39 13.25,-02 24 46.70,6.221,B7IIIne,250,187,
456,V568 Cyg,20 42 22.32,35 27 22.30,6.671,B2IVe,105,252,
457,lam Cyg,20 47 24.54,36 29 26.57,4.75,B5Ve,125,5005,
458,V2136 Cyg,20 49 54.65,46 39 40.81,6.33,B4Ve,250,981,
459,HD 199218,20 54 22.25,40 42 10.65,6.696,B8Vnne,205,165,
460,V2139 Cyg,20 55 23.11,40 18 00.10,7.157,B2IVpe,,159,
461,nu Cyg,20 57 10.42,41 10 01.70,3.939,A1Vne,245,267,
462,59 Cyg,20 59 49.56,47 31 15.42,4.74,B1.5Vnne,379,5299,
463,V2144 Cyg,21 00 49.86,46 34 42.91,7.28,B5Ve,,115,
464,60 Cyg,21 01 10.93,46 09 20.78,5.417,B1Ve,320,383,
465,HD 201522,21 08 29.63,47 15 25.37,7.9,B0Ve,,83,
466,V2148 Cyg,21 09 58.63,45 30 09.20,6.61,B4IVpe,340,450,
467,HD 201836,21 10 30.96,47 41 32.02,6.492,B6IVe,120,117,
468,V421 Cep,21 17 18.79,58 36 41.34,6.432,B2IIIe,90,226,
469,ups Cyg,21 17 55.08,34 53 48.83,4.43,B2Vne,185,1677,
470,HD 203374,21 19 07.36,61 51 30.43,6.692,B0IVpe,,123,
471,6 Cep,21 19 22.22,64 52 18.68,5.185,B3IVe,153,967,
472,V2153 Cyg,21 22 51.15,40 41 50.08,7.52,B1Vne,,293,
473,NT Peg,21 23 35.39,14 03 00.64,6.86,B2.5IVne,,303,
474,V2155 Cyg,21 24 30.34,55 22 00.24,7.55,B1Ve,,586,
475,ALFIRK,21 28 39.60,70 33 38.57,3.216,B2IIIev,20,8165,
476,V2162 Cyg,21 29 14.84,44 20 17.25,7.63,B2Vnne,,628,
477,V2163 Cyg,21 30 00.89,45 29 39.07,6.944,B4e,200,313,
478,HD 205060,21 31 36.91,42 42 02.72,7.219,B5e,,180,
479,HD 205551,21 34 27.46,51 41 54.47,6.164,B9IIIe,120,135,
480,eps Cap,21 37 04.83,-19 27 57.65,4.5,B3Vpe,225,280,
481,HD 206773,21 42 24.18,57 44 09.80,6.927,B0Vpe,480,1260,
482,HD 207232,21 46 02.83,50 40 26.95,7.033,B9e,330,195,
483,16 Peg,21 53 03.77,25 55 30.49,5.078,B3Ve,100,1818,
484,EM Cep,21 53 48.10,62 36 51.94,7.03,B0.5Ve,304,175,
485,HD 208682,21 55 31.00,65 19 14.91,5.939,B2.5Ve,307,135,
486,V439 Cep,21 59 19.67,60 17 51.59,7.67,B1Ve,,253,
487,VV PsA,21 59 55.54,-31 31 32.65,7.06,B7Ve,200,95,
488,eta PsA,22 00 50.23,-28 27 13.46,5.62,B8Ve,320,118,
489,omi Aqr,22 03 18.84,-02 09 19.31,4.7,B7IVe,280,308,
490,UU PsA,22 04 36.77,-26 49 20.50,5.952,B4IVne,275,114,
491,25 Peg,22 07 50.30,21 42 10.53,5.783,B7Vne,130,376,
492,V357 Lac,22 20 22.71,51 51 39.60,6.98,B1Vnnpev,,1686,
493,31 Peg,22 21 31.08,12 12 18.66,4.81,B2IVe,98,1380,
494,pi Aqr,22 25 16.62,01 22 38.63,4.794,B1Ve,230,6321,
495,8 Lac B,22 35 52.11,39 37 41.28,6.48,B2Ve,300,266,
496,8 Lac A,22 35 52.28,39 38 03.58,5.73,B2Ve,265,546,
497,eps PsA,22 40 39.34,-27 02 37.02,4.18,B8Ve,200,160,
498,HD 216057,22 48 47.90,54 24 53.61,6.131,B5Vne,260,145,
499,14 Lac,22 50 21.77,41 57 12.22,5.928,B3IVe,225,1365,
500,V423 Lac,22 55 47.06,43 33 33.43,7.97,B3Vne,310,260,
501,EW Lac,22 57 04.50,48 41 02.65,5.42,B3IVpe,265,659,
502,V378 And,23 00 54.75,38 42 28.24,6.555,B3Vpe,370,571,
503,omi And,23 01 55.26,42 19 33.53,3.633,B6IIIpe,260,4442,
504,bet Psc,23 03 52.61,03 49 12.17,4.486,B6Ve,95,1100,
505,CW Cep,23 04 02.22,63 23 48.76,7.67,B1Vve,,256,
506,KX And,23 07 06.21,50 11 32.49,7.02,Bpe,,343,
507,KY And,23 09 16.75,49 39 02.21,6.758,B3IVe,,307,
508,HD 219523,23 15 28.51,64 16 00.17,7.17,B5Ve,,1,
509,V813 Cas,23 22 10.46,56 20 53.61,7.93,B8e,350,140,
510,bet Scl,23 32 58.26,-37 49 05.76,4.37,B9.5IVmnpe,20,120,
511,18 And,23 39 08.33,50 28 18.24,5.35,B9Ve,,561,
512,V818 Cas,23 49 53.12,62 12 50.73,7.74,B2Vne,,242,
513,LQ And,23 58 46.44,46 24 47.44,6.542,B4Vne,300,517,
514,HD 224544,23 58 49.24,32 22 54.14,6.524,B6IVe,260,431,
515,eps Tuc,23 59 54.98,-65 34 37.68,4.49,B8Ve,300,103,


